Mean,Standard Deviation,Entropy,Root Mean Square,Variance,Smoothness,Kurtosis,Skewness,Contrast,Co-relation,Energy,Homogeneity
96.19097995758057,65.54898323189,7.006706135644094,[116.40177759782823],4296.669202734598,27.813725490196077,-1.1210405154649847,-0.10812233314191695,65.54898323189,0.9987832713529864,8.479809045791628,0.6682384502332679
159.58845806121826,62.06354674005,7.632478278597782,[171.23188891182502],3851.883833954371,31.797169811320753,-0.3758919968665779,-0.7028473313838061,62.06354674005,0.9982399858294674,12.766339540481567,0.5960369581515953
105.93162727355957,53.46179257479164,7.3387277346913855,[118.65779756145147],2858.1632653100464,24.911538461538463,-0.51182023313405,-0.4765758420763136,53.46179257479164,0.9955519335723158,15.120596408843998,0.5962084281428031
137.39883518218994,62.58980756647852,7.728737873952827,[150.98319085458292],3917.4840112088114,19.979885057471265,-0.7667856218615166,-0.3988138623859618,62.58980756647852,0.998274727528267,7.0050599575042725,0.42530140627126584
135.38192081451416,40.243023783452514,7.036985777519913,[141.23655846367436],1619.5009632355245,15.5,2.1851762650234177,-1.4054173721422902,40.243023783452514,0.9936444830194604,12.500693082809448,0.43547320892371477
104.50629043579102,36.45900784487909,6.834503139562585,[110.68344046732041],1329.2592530329548,17.633911368015415,-0.268160414396974,-0.7619842789263043,36.45900784487909,0.9984634210851108,1.8799557685852053,0.5335492330218745
134.47425746917725,63.310770620331695,7.58189870183131,[148.63236389974702],4008.2536765402547,14.76228209191759,-0.5286763931120406,-0.5211207644456669,63.310770620331695,0.9982836943247365,16.698623418807987,0.4805232661396452
112.72661304473877,52.20876387969932,7.327366319614148,[124.22980445281422],2725.755025846196,43.75524475524475,-0.4435188916813617,-0.6354706666816553,52.20876387969932,0.994057748417041,17.052420377731327,0.6291073553637572
103.35384750366211,50.11558305213387,7.35616737167025,[114.8633512416627],2511.571664655328,28.206989247311828,-0.5992234587017573,-0.48202141956175804,50.11558305213387,0.9912801633050357,21.054336547851566,0.4848180176237909
172.89276790618896,53.940669276867766,7.3968367136207425,[181.1118576910406],2909.5958020364264,4.0,1.3344696297058158,-1.2846020278083825,53.940669276867766,0.9964757247845466,10.349268674850464,0.556433625464618
139.97426414489746,53.482403503976215,7.576828617821454,[149.8437923554648],2860.367484562127,13.15658362989324,-0.8069923424417476,-0.36434951691768386,53.482403503976215,0.998443922564835,10.790573596954346,0.5598091866628556
107.68149757385254,35.73664297616323,6.685545028556889,[113.45665503157305],1277.1076512057566,22.295580110497237,0.895253573166741,-0.9756864061792997,35.73664297616323,0.9983281050142926,1.8628706932067873,0.5300255484142627
108.12171745300293,70.62916457600076,7.563316444468286,[129.14636918508702],4988.478888703801,19.131067961165048,-1.243670131671094,-0.010120204840262844,70.62916457600076,0.9986501953743453,6.131550312042237,0.4008678289157248
109.88815975189209,55.15273313172794,7.371530254890416,[122.95215177278088],3041.823971899601,20.974160206718345,-0.5615561244395266,-0.23597583768925257,55.15273313172794,0.9961770260604367,15.197078466415407,0.5874794557197343
108.72444152832031,53.77024421955116,7.330759735869356,[121.29403674161115],2891.239163430175,26.870646766169155,-0.4958505179661872,-0.3685264248412646,53.77024421955116,0.99770292260756,9.379456520080568,0.6450072140686434
